Product Name,Price,Rating (Out of 5),No. of Reviews,Product Link
"OnePlus Nord 2 5G (Blue Haze, 8GB RAM, 128GB Storage)","29,999",4.3,"55,814",https://www.amazon.in/OnePlus-Nord-Blue-128GB-Storage/dp/B097RD2JX8/ref=sr_1_1?keywords=oneplus+nord+2&qid=1640947381&sr=8-1
"OnePlus Nord CE 5G (Blue Void, 8GB RAM, 128GB Storage)","24,999",4.1,"68,787",https://www.amazon.in/OnePlus-Nord-Blue-128GB-Storage/dp/B095PYTSV8/ref=sr_1_3?keywords=oneplus+nord+2&qid=1640947381&sr=8-3
"(Renewed) OnePlus 6 (Midnight Black, 8GB RAM, 128GB Storage)","20,499",1.0,2,https://www.amazon.in/Renewed-OnePlus-Midnight-Black-Storage/dp/B09CTMVJB6/ref=sr_1_4?keywords=oneplus+nord+2&qid=1640947381&sr=8-4
"(Renewed) OnePlus Nord CE 5G (Blue Void, 8GB RAM, 128GB Storage)","22,970",3.6,127,https://www.amazon.in/Renewed-OnePlus-Nord-128GB-Storage/dp/B0992DXC4P/ref=sr_1_5?keywords=oneplus+nord+2&qid=1640947381&sr=8-5
"(Renewed) OnePlus Nord CE 5G (Charcoal Ink, 8GB RAM, 128GB Storage)","23,380",3.4,147,https://www.amazon.in/Renewed-OnePlus-Nord-Charcoal-Storage/dp/B0992C9B69/ref=sr_1_6?keywords=oneplus+nord+2&qid=1640947381&sr=8-6
"(Renewed) OnePlus Nord CE 5G (Charcoal Ink, 6GB RAM, 128GB Storage)","22,970",3.3,148,https://www.amazon.in/Renewed-OnePlus-Nord-Charcoal-Storage/dp/B0992FC4KY/ref=sr_1_7?keywords=oneplus+nord+2&qid=1640947381&sr=8-7
"(Renewed) OnePlus Nord CE 5G (Blue Void, 12GB RAM, 256GB Storage)","27,700",3.,194,https://www.amazon.in/Renewed-OnePlus-Nord-256GB-Storage/dp/B0992CCB3J/ref=sr_1_8?keywords=oneplus+nord+2&qid=1640947381&sr=8-8
"Samsung Galaxy M12 (Black,6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime","13,499",4.1,"98,693",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0456627DVRW3UVP6A6N&url=%2FSamsung-Galaxy-M12-Storage-Replacement%2Fdp%2FB08XJBPCTR%2Fref%3Dsr_1_9_sspa%3Fkeywords%3Doneplus%2Bnord%2B2%26qid%3D1640947381%26sr%3D8-9-spons%26psc%3D1&qualifier=1640947381&id=8993272393753168&widgetName=sp_mtf
"Samsung Galaxy M21 2021 Edition (Arctic Blue, 4GB RAM, 64GB Storage) | FHD+ sAMOLED | 6 Months Free Screen Replacement for Prime (SM-M215GLBDINS)","12,999",4.2,"199,329",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A059630913PAAB9WMU6A1&url=%2FSamsung-Storage-sAMOLED-Replacement-SM-M215GLBDINS%2Fdp%2FB098NGDNMT%2Fref%3Dsr_1_10_sspa%3Fkeywords%3Doneplus%2Bnord%2B2%26qid%3D1640947381%26sr%3D8-10-spons%26psc%3D1&qualifier=1640947381&id=8993272393753168&widgetName=sp_mtf
"(Renewed) OnePlus 7 (Mirror Grey, 6GB RAM, 128GB Storage)","21,999",3.6,89,https://www.amazon.in/Renewed-OnePlus-Mirror-128GB-Storage/dp/B07V3QC3XH/ref=sr_1_11?keywords=oneplus+nord+2&qid=1640947381&sr=8-11
"OnePlus 9R 5G (Lake Blue, 8GB RAM, 128GB Storage)","39,999",4.4,"32,535",https://www.amazon.in/Test-Exclusive_2020_1180-Multi-3GB-Storage/dp/B089MT34QL/ref=sr_1_12?keywords=oneplus+nord+2&qid=1640947381&sr=8-12
"(Renewed) OnePlus 9 Pro 5G (Pine Green, 8GB RAM, 128GB Storage)","54,399",3.0,2,https://www.amazon.in/Renewed-OnePlus-Pine-Green-128GB-Storage/dp/B0968YBGLP/ref=sr_1_14?keywords=oneplus+nord+2&qid=1640947381&sr=8-14
"(Renewed) OnePlus 7T (Glacier Blue, 8GB RAM, Fluid AMOLED Display, 128GB Storage, 3800mAH Battery)","26,999",3.,362,https://www.amazon.in/Renewed-OnePlus-Glacier-Display-Storage/dp/B081Y2H9V7/ref=sr_1_15?keywords=oneplus+nord+2&qid=1640947381&sr=8-15
"(Renewed) OnePlus Nord 5G (Blue Marble, 12GB RAM, 256GB Storage)","29,540",3.6,"1,350",https://www.amazon.in/Renewed-OnePlus-Marble-256GB-Storage/dp/B08L38T5GC/ref=sr_1_16?keywords=oneplus+nord+2&qid=1640947381&sr=8-16
"(Renewed) OnePlus 9 5G (Winter Mist, 12GB RAM, 256GB Storage)","44,999",4.6,6,https://www.amazon.in/Renewed-OnePlus-Winter-256GB-Storage/dp/B0968X7FFJ/ref=sr_1_17?keywords=oneplus+nord+2&qid=1640947381&sr=8-17
"(Renewed) OnePlus 5T (Midnight Black, 6GB RAM, 64GB Storage)","19,000",4.0,2,https://www.amazon.in/Renewed-OnePlus-Midnight-Black-Storage/dp/B09L7ZZLDZ/ref=sr_1_18?keywords=oneplus+nord+2&qid=1640947381&sr=8-18
"Samsung Galaxy M52 5G (Blazing Black, 8GB RAM, 128GB Storage) Latest Snapdragon 778G 5G | sAMOLED 120Hz Display","31,999",4.2,"7,368",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01831753QEATPID9G91Q&url=%2FSamsung-Blazing-Storage-Snapdragon-sAMOLED%2Fdp%2FB09CV4YHTK%2Fref%3Dsr_1_19_sspa%3Fkeywords%3Doneplus%2Bnord%2B2%26qid%3D1640947381%26sr%3D8-19-spons%26psc%3D1&qualifier=1640947381&id=8993272393753168&widgetName=sp_btf
"Samsung Galaxy M32 (Black, 6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime","16,999",4.2,"24,893",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09807472OL0OFTIQLN0D&url=%2FSamsung-Galaxy-Storage-Months-Replacement%2Fdp%2FB096VD6RQG%2Fref%3Dsr_1_20_sspa%3Fkeywords%3Doneplus%2Bnord%2B2%26qid%3D1640947381%26sr%3D8-20-spons%26psc%3D1&qualifier=1640947381&id=8993272393753168&widgetName=sp_btf
"Samsung Galaxy M32 5G (Sky Blue, 6GB RAM, 128GB Storage)","20,999",4.2,"16,515",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03926402I2QNGSMQ21DS&url=%2FSamsung-Galaxy-Blue-128GB-Storage%2Fdp%2FB09CGJK2HG%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Doneplus%2Bnord%2B2%26qid%3D1640947381%26sr%3D8-21-spons%26psc%3D1&qualifier=1640947381&id=8993272393753168&widgetName=sp_btf
